epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;256;257;258;1562
1;256;258;260;1562
2;256;258;260;1562
3;256;258;260;1562
4;256;260;264;1562
5;256;260;268;1562
6;258;258;262;1562
7;258;260;266;1562
8;260;264;270;1562
9;256;262;268;1562
10;256;262;270;1562
11;256;265;272;1562
12;262;267;272;1562
13;256;266;278;1562
14;260;263;266;1562
15;260;267;282;1562
16;262;270;278;1562
17;256;267;276;1562
18;264;270;294;1562
19;266;272;286;1562
20;256;266;280;1562
21;262;271;282;1562
22;264;271;278;1562
23;256;266;282;1562
24;264;271;280;1562
25;264;276;288;1562
26;256;268;278;1562
27;262;270;286;1562
28;274;281;290;1562
29;256;275;292;1562
30;272;276;286;1562
31;270;282;292;1562
32;268;273;278;1562
33;256;272;294;1562
34;264;273;292;1562
35;266;276;296;1562
36;262;275;296;1562
37;262;278;288;1562
38;272;277;286;1562
39;262;278;298;1562
40;268;276;288;1562
41;270;288;316;1562
42;274;280;300;1562
43;256;263;284;1562
44;272;281;296;1562
45;258;272;296;1562
46;262;280;296;1562
47;256;276;290;1562
48;258;271;298;1562
49;266;281;294;1562
