epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;258;261;264;2807
1;266;270;274;2807
2;266;277;282;2807
3;280;282;286;2807
4;278;284;296;2807
5;272;284;296;2807
6;276;302;342;2807
7;290;316;398;2807
8;272;294;310;2807
9;278;327;442;2807
10;280;298;316;2807
11;270;319;374;2807
12;266;320;362;2807
13;284;335;460;2807
14;284;325;434;2807
15;296;378;470;2807
16;278;378;598;2807
17;288;350;394;2807
18;274;367;476;2807
19;310;352;466;2807
20;288;406;542;2807
21;294;454;576;2807
22;286;419;604;2807
23;316;470;626;2807
24;370;510;586;2807
25;326;534;700;2807
26;292;482;640;2807
27;258;548;638;2807
28;268;427;580;2807
29;470;557;676;2807
30;356;556;750;2807
31;336;486;608;2807
32;458;644;864;2807
33;278;487;710;2807
34;292;520;744;2807
35;424;488;660;2807
36;444;654;838;2807
37;604;712;800;2807
38;466;617;860;2807
39;292;530;814;2807
40;378;631;868;2807
41;274;620;892;2807
42;474;712;854;2807
43;506;649;820;2807
44;448;640;984;2807
45;282;512;816;2807
46;468;753;1032;2807
47;274;596;848;2807
48;278;694;882;2807
49;286;672;960;2807
50;282;481;932;2807
51;340;528;874;2807
52;338;524;810;2807
53;276;599;806;2807
54;306;705;1202;2807
55;306;570;812;2807
56;454;588;708;2807
57;378;598;930;2807
58;382;591;866;2807
59;282;681;968;2807
60;384;760;1160;2807
61;312;721;1144;2807
62;448;649;1016;2807
63;414;746;1070;2807
64;740;1042;1494;2807
65;508;1033;1374;2807
66;592;948;1486;2807
67;272;771;1236;2807
68;600;860;1572;2807
69;322;699;1380;2807
70;272;674;1056;2807
71;284;552;1164;2807
72;692;911;1202;2807
73;294;656;1126;2807
74;288;863;1530;2807
75;272;513;792;2807
76;270;599;844;2807
77;582;863;1602;2807
78;298;696;1960;2807
79;438;635;896;2807
80;274;486;912;2807
81;292;704;1188;2807
82;462;906;1388;2807
83;278;522;992;2807
84;456;896;1820;2807
85;284;659;992;2807
86;406;765;1176;2807
87;276;514;1000;2807
88;272;683;1284;2807
89;342;894;1490;2807
90;708;1143;1370;2807
91;276;746;1076;2807
92;494;754;1008;2807
93;270;536;920;2807
94;690;902;1294;2807
95;540;809;1116;2807
96;274;672;1144;2807
97;712;1065;1214;2807
98;378;873;1206;2807
99;338;729;1200;2807
