epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;204;224;256;13579
1;202;222;256;13579
2;206;217;256;13579
3;200;215;256;13579
4;198;218;256;13579
5;198;216;258;13579
6;198;206;212;13579
7;202;210;220;13579
8;202;208;212;13579
9;206;209;216;13579
10;204;209;214;13579
11;202;207;214;13579
12;204;230;266;13579
13;198;227;264;13579
14;202;224;270;13579
15;202;210;228;13579
16;212;219;236;13579
17;204;222;266;13579
18;208;214;222;13579
19;208;211;216;13579
20;206;226;272;13579
21;200;232;272;13579
22;206;230;270;13579
23;206;214;230;13579
24;210;218;224;13579
25;212;217;226;13579
26;210;220;226;13579
27;200;214;228;13579
28;210;216;230;13579
29;208;228;270;13579
30;210;225;244;13579
31;212;223;238;13579
32;198;216;236;13579
33;210;220;226;13579
34;214;235;286;13579
35;208;236;292;13579
36;216;222;234;13579
37;202;222;234;13579
38;206;244;276;13579
39;212;228;246;13579
40;222;234;258;13579
41;198;234;296;13579
42;212;239;268;13579
43;206;232;294;13579
44;206;238;300;13579
45;204;229;286;13579
46;210;241;298;13579
47;202;238;302;13579
48;238;269;298;13579
49;208;259;300;13579
50;206;236;292;13579
51;218;244;298;13579
52;230;262;292;13579
53;226;252;298;13579
54;242;277;316;13579
55;216;263;298;13579
56;220;236;272;13579
57;202;246;308;13579
58;236;254;286;13579
59;202;246;306;13579
60;234;258;294;13579
61;242;258;310;13579
62;206;240;294;13579
63;202;231;254;13579
64;206;235;302;13579
65;202;256;306;13579
66;206;252;310;13579
67;220;248;282;13579
68;210;246;314;13579
69;208;228;288;13579
70;202;256;422;13579
71;220;291;350;13579
72;202;254;314;13579
73;222;262;298;13579
74;202;282;314;13579
75;214;277;324;13579
76;222;290;406;13579
77;248;309;364;13579
78;216;274;336;13579
79;198;279;324;13579
80;206;262;320;13579
81;202;248;298;13579
82;222;314;452;13579
83;210;321;516;13579
84;218;284;438;13579
85;208;261;322;13579
86;224;310;480;13579
87;234;288;322;13579
88;204;298;444;13579
89;246;300;338;13579
90;312;352;432;13579
91;236;328;426;13579
92;204;292;408;13579
93;206;368;498;13579
94;230;330;514;13579
95;198;290;324;13579
96;212;271;330;13579
97;234;352;420;13579
98;212;291;384;13579
99;208;362;536;13579
