epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;264;270;278;3091
1;276;282;286;3091
2;284;288;292;3091
3;286;294;302;3091
4;294;302;308;3091
5;298;312;350;3091
6;296;345;382;3091
7;322;350;404;3091
8;290;383;538;3091
9;294;386;490;3091
10;292;356;478;3091
11;464;491;524;3091
12;306;469;684;3091
13;350;501;588;3091
14;360;533;696;3091
15;288;397;480;3091
16;306;506;702;3091
17;508;738;974;3091
18;296;600;756;3091
19;366;561;712;3091
20;466;559;786;3091
21;532;661;826;3091
22;284;513;882;3091
23;416;781;1090;3091
24;490;820;1060;3091
25;524;775;944;3091
26;398;659;1052;3091
27;466;728;936;3091
28;284;403;630;3091
29;422;653;954;3091
30;346;809;1372;3091
31;382;678;904;3091
32;564;800;1164;3091
33;292;824;1230;3091
34;418;682;1148;3091
35;430;895;1260;3091
36;668;870;1132;3091
37;492;781;1042;3091
38;290;706;1124;3091
39;484;874;1276;3091
40;400;938;1642;3091
41;290;965;1488;3091
42;296;1020;1526;3091
43;674;1064;1316;3091
44;752;983;1648;3091
45;876;1188;1466;3091
46;338;782;1824;3091
47;296;727;1216;3091
48;300;737;1472;3091
49;284;716;1032;3091
50;280;886;1130;3091
51;1022;1197;1388;3091
52;272;996;1672;3091
53;500;885;1074;3091
54;450;999;1568;3091
55;280;1060;1478;3091
56;1046;1303;1580;3091
57;1112;1319;1714;3091
58;680;950;1452;3091
59;342;914;1572;3091
60;818;1198;1630;3091
61;294;1141;1808;3091
62;680;1369;1746;3091
63;984;1420;2084;3091
64;298;1165;1682;3091
65;384;1039;1480;3091
66;642;1442;1806;3091
67;274;783;1300;3091
68;1064;1396;2002;3091
69;386;1211;1716;3091
70;396;1110;2016;3091
71;668;1112;1460;3091
72;284;997;1928;3091
73;516;1177;2496;3091
74;298;1126;2058;3091
75;446;994;1352;3091
76;372;760;1262;3091
77;436;852;1260;3091
78;616;1113;1500;3091
79;756;1066;1418;3091
80;414;1015;1900;3091
81;460;916;1806;3091
82;498;1343;2304;3091
83;872;1196;1594;3091
84;300;1044;1646;3091
85;696;960;1208;3091
86;610;1297;1578;3091
87;296;1161;2142;3091
88;392;950;1366;3091
89;276;639;1358;3091
90;622;1194;1736;3091
91;824;1276;1822;3091
92;332;774;1292;3091
93;300;1214;1844;3091
94;418;1253;2332;3091
95;986;1780;2560;3091
96;376;1337;2442;3091
97;1532;1907;2424;3091
98;278;1097;1712;3091
99;286;1122;1906;3091
