epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;256;256;258;18274
1;256;258;260;18274
2;256;258;260;18274
3;258;260;262;18274
4;258;260;264;18274
5;256;260;264;18274
6;260;262;264;18274
7;260;262;264;18274
8;258;263;266;18274
9;258;264;272;18274
10;264;268;272;18274
11;262;265;270;18274
12;264;269;280;18274
13;262;267;270;18274
14;262;265;270;18274
15;256;264;274;18274
16;256;264;272;18274
17;262;270;276;18274
18;268;271;278;18274
19;268;273;280;18274
20;270;274;284;18274
21;264;267;272;18274
22;264;267;280;18274
23;264;269;280;18274
24;260;267;284;18274
25;272;279;284;18274
26;262;271;280;18274
27;256;269;284;18274
28;256;275;290;18274
29;266;279;300;18274
30;272;279;294;18274
31;274;283;294;18274
32;258;272;296;18274
33;256;270;276;18274
34;270;279;286;18274
35;264;274;286;18274
36;268;281;294;18274
37;256;277;300;18274
38;264;286;302;18274
39;256;273;296;18274
40;274;279;286;18274
41;284;289;296;18274
42;264;279;304;18274
43;266;276;286;18274
44;276;286;294;18274
45;256;272;292;18274
46;256;285;300;18274
47;256;294;386;18274
48;264;294;388;18274
49;268;286;304;18274
50;268;285;306;18274
51;256;276;292;18274
52;274;302;382;18274
53;256;275;298;18274
54;262;304;362;18274
55;280;306;376;18274
56;268;305;374;18274
57;258;293;372;18274
58;268;288;344;18274
59;256;278;294;18274
60;266;275;284;18274
61;264;277;296;18274
62;274;290;344;18274
63;268;330;382;18274
64;276;302;364;18274
65;256;280;318;18274
66;256;268;296;18274
67;256;275;294;18274
68;276;308;388;18274
69;258;308;390;18274
70;294;333;384;18274
71;266;326;400;18274
72;262;288;352;18274
73;274;315;388;18274
74;274;324;412;18274
75;274;342;438;18274
76;256;279;304;18274
77;262;311;418;18274
78;262;282;308;18274
79;264;315;386;18274
80;264;322;378;18274
81;294;365;462;18274
82;272;343;478;18274
83;256;370;548;18274
84;266;310;400;18274
85;266;351;568;18274
86;266;315;456;18274
87;264;280;318;18274
88;272;289;308;18274
89;278;293;302;18274
90;262;304;410;18274
91;304;361;416;18274
92;264;342;412;18274
93;262;302;394;18274
94;256;333;474;18274
95;262;331;470;18274
96;262;276;308;18274
97;268;306;330;18274
98;256;308;428;18274
99;266;322;472;18274
100;258;292;338;18274
101;272;315;376;18274
102;276;305;352;18274
103;264;312;392;18274
104;256;293;392;18274
105;262;328;426;18274
106;266;354;522;18274
107;256;348;500;18274
108;256;347;402;18274
109;262;351;456;18274
110;268;310;368;18274
111;256;341;460;18274
112;256;306;430;18274
113;256;307;442;18274
114;264;314;442;18274
115;272;315;392;18274
116;256;297;388;18274
117;268;340;396;18274
118;268;309;396;18274
119;262;280;320;18274
120;262;310;454;18274
121;264;296;380;18274
122;280;381;560;18274
123;286;365;440;18274
124;280;348;442;18274
125;262;322;446;18274
126;296;391;490;18274
127;282;398;528;18274
128;264;331;416;18274
129;258;319;380;18274
130;256;285;358;18274
131;262;296;364;18274
132;256;278;288;18274
133;268;325;396;18274
134;256;273;286;18274
135;270;300;394;18274
136;278;321;438;18274
137;264;309;418;18274
138;256;296;396;18274
139;268;316;388;18274
140;256;304;392;18274
141;266;313;386;18274
142;256;294;394;18274
143;272;324;430;18274
144;268;301;398;18274
145;256;293;382;18274
146;268;280;300;18274
147;256;276;290;18274
148;276;300;364;18274
149;258;279;308;18274
150;262;271;280;18274
151;262;277;298;18274
152;256;331;476;18274
153;256;275;312;18274
154;280;340;482;18274
155;262;290;346;18274
156;262;355;506;18274
157;256;325;510;18274
158;268;370;528;18274
159;262;352;590;18274
160;264;325;506;18274
161;276;328;438;18274
162;268;311;394;18274
163;286;375;470;18274
164;264;320;466;18274
165;278;316;384;18274
166;258;374;560;18274
167;256;376;562;18274
168;266;283;314;18274
169;262;297;404;18274
170;264;319;410;18274
171;256;295;370;18274
172;288;309;368;18274
173;284;340;416;18274
174;276;315;398;18274
175;290;333;400;18274
176;278;311;360;18274
177;302;364;406;18274
178;262;364;454;18274
179;264;292;378;18274
180;256;278;324;18274
181;300;345;408;18274
182;270;337;442;18274
183;276;358;450;18274
184;290;362;418;18274
185;268;311;384;18274
186;274;336;384;18274
187;282;366;500;18274
188;270;362;496;18274
189;256;334;478;18274
190;256;318;488;18274
191;256;312;458;18274
192;256;307;450;18274
193;256;279;324;18274
194;264;294;348;18274
195;256;313;432;18274
196;262;299;358;18274
197;268;337;452;18274
198;264;325;472;18274
199;264;353;448;18274
200;256;308;448;18274
201;262;353;538;18274
202;264;309;446;18274
203;256;270;286;18274
204;274;329;490;18274
205;272;372;448;18274
206;266;330;460;18274
207;256;384;716;18274
208;256;306;438;18274
209;256;295;384;18274
210;268;310;402;18274
211;270;281;300;18274
212;270;372;516;18274
213;264;358;488;18274
214;268;312;482;18274
215;256;299;398;18274
216;256;270;294;18274
217;264;374;626;18274
218;282;379;586;18274
219;256;311;428;18274
220;262;326;438;18274
221;262;311;444;18274
222;278;312;430;18274
223;262;284;302;18274
224;256;270;300;18274
225;262;320;418;18274
226;268;287;302;18274
227;264;299;384;18274
228;262;332;420;18274
229;256;338;580;18274
230;262;318;444;18274
231;262;270;276;18274
232;262;292;356;18274
233;262;304;394;18274
234;262;321;396;18274
235;262;282;322;18274
236;264;306;388;18274
237;264;285;332;18274
238;264;294;334;18274
239;266;292;350;18274
240;288;358;516;18274
241;270;353;486;18274
242;262;362;488;18274
243;272;358;448;18274
244;274;391;526;18274
245;256;295;356;18274
246;266;310;420;18274
247;286;369;440;18274
248;256;367;544;18274
249;262;353;486;18274
250;258;294;412;18274
251;266;300;356;18274
252;256;383;468;18274
253;266;342;468;18274
254;256;380;572;18274
255;270;304;348;18274
256;256;302;406;18274
257;272;337;470;18274
258;268;310;420;18274
259;268;364;548;18274
260;256;343;456;18274
261;258;310;456;18274
262;272;360;656;18274
263;256;371;766;18274
264;262;359;630;18274
265;256;346;582;18274
266;264;397;802;18274
267;256;287;344;18274
268;270;310;382;18274
269;258;317;428;18274
270;258;355;530;18274
271;256;288;332;18274
272;270;320;396;18274
273;292;316;386;18274
274;256;284;312;18274
275;262;324;502;18274
276;274;334;436;18274
277;268;320;400;18274
278;286;355;414;18274
279;262;318;486;18274
280;262;300;356;18274
281;272;316;404;18274
282;270;334;436;18274
283;256;330;414;18274
284;264;343;408;18274
285;264;306;420;18274
286;264;342;400;18274
287;262;342;478;18274
288;256;338;428;18274
289;270;361;540;18274
290;294;359;466;18274
291;262;307;410;18274
292;262;298;392;18274
293;262;381;594;18274
294;264;351;560;18274
295;256;346;530;18274
296;268;336;500;18274
297;262;311;480;18274
298;264;317;408;18274
299;256;354;558;18274
300;256;310;446;18274
301;268;317;428;18274
302;256;327;448;18274
303;294;336;388;18274
304;262;334;458;18274
305;284;336;410;18274
306;258;297;336;18274
307;262;308;372;18274
308;256;314;372;18274
309;262;316;440;18274
310;256;284;306;18274
311;268;279;290;18274
312;256;272;292;18274
313;270;284;300;18274
314;262;307;388;18274
315;258;290;312;18274
316;264;278;310;18274
317;262;298;390;18274
318;272;280;294;18274
319;258;300;376;18274
320;258;295;352;18274
321;256;272;292;18274
322;256;308;426;18274
323;264;292;350;18274
324;264;274;292;18274
325;256;279;322;18274
326;262;308;392;18274
327;256;305;426;18274
328;268;285;314;18274
329;270;284;300;18274
330;264;282;296;18274
331;264;321;438;18274
332;258;278;304;18274
333;272;304;334;18274
334;258;332;434;18274
335;258;298;394;18274
336;256;301;376;18274
337;256;304;406;18274
338;264;281;316;18274
339;266;285;318;18274
340;272;278;282;18274
341;256;331;448;18274
342;256;370;562;18274
343;256;342;482;18274
344;256;315;510;18274
345;262;288;358;18274
346;278;379;522;18274
347;266;290;322;18274
348;284;359;442;18274
349;262;340;478;18274
350;256;324;464;18274
351;262;323;458;18274
352;276;380;468;18274
353;262;338;434;18274
354;256;346;436;18274
355;264;302;384;18274
356;258;302;368;18274
357;258;382;580;18274
358;270;304;410;18274
359;280;355;596;18274
360;296;358;480;18274
361;276;365;590;18274
362;280;356;566;18274
363;256;353;648;18274
364;264;368;704;18274
365;262;307;442;18274
366;262;336;464;18274
367;280;357;488;18274
368;272;347;416;18274
369;270;396;682;18274
370;212;292;394;18274
371;274;361;480;18274
372;274;347;556;18274
373;270;366;440;18274
374;278;378;546;18274
375;256;316;474;18274
376;270;408;796;18274
377;268;383;716;18274
378;220;380;662;18274
379;210;286;422;18274
