epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;7748;9778;12072;32926
1;7116;8347;9330;32926
2;6664;10021;13486;32926
3;4256;9004;11222;32926
4;7282;9098;10888;32926
5;7352;8460;9850;32926
6;5234;7689;9878;32926
7;7904;9550;11370;32926
8;7112;9251;10930;32926
9;5354;8430;10800;32926
10;5500;8559;12160;32926
11;6724;8168;11052;32926
12;6264;7297;8442;32926
13;5888;9417;10884;32926
14;4646;7485;10190;32926
15;6664;8406;9678;32926
16;7546;8580;10912;32926
17;7896;8436;9212;32926
18;6152;7092;8774;32926
19;4888;7624;10090;32926
20;3942;6371;9370;32926
21;2194;6378;8432;32926
22;4342;6759;9906;32926
23;5578;6550;8342;32926
24;5802;7210;10684;32926
25;4624;7612;10878;32926
26;6366;7462;9506;32926
27;4256;6918;9182;32926
28;4044;6018;7622;32926
29;3294;5893;10008;32926
30;6660;8344;11864;32926
31;4256;6206;7850;32926
32;4070;6565;8036;32926
33;5402;7102;8988;32926
34;4124;5936;7676;32926
35;3690;5644;6666;32926
36;4524;5855;9486;32926
37;4128;5457;6046;32926
38;3460;5763;8254;32926
39;1950;5667;7510;32926
40;1904;5808;8146;32926
41;3818;5354;7338;32926
42;4076;6733;9990;32926
43;3704;6938;10170;32926
44;4048;5921;8442;32926
45;4112;6548;8224;32926
46;4270;5100;5844;32926
47;4476;6089;7354;32926
48;4088;6617;8240;32926
49;3454;5218;6414;32926
50;3986;6801;10868;32926
51;3504;7348;10366;32926
52;2290;4310;5778;32926
53;3660;5552;8846;32926
54;3464;5584;8014;32926
55;1610;5301;11762;32926
56;3724;5974;10408;32926
57;4036;7391;12190;32926
58;3494;6269;7526;32926
59;4294;5840;7154;32926
60;3942;5576;8454;32926
61;3936;6036;9050;32926
62;3634;5827;7422;32926
63;3656;5310;6328;32926
64;3818;5884;7426;32926
65;1976;4712;6706;32926
66;2524;4742;6494;32926
67;2748;3801;4756;32926
68;1976;4244;6132;32926
69;2746;4208;5666;32926
70;3208;4508;6968;32926
71;1562;5282;12426;32926
72;3598;5013;6876;32926
73;2940;3995;5166;32926
74;3560;4688;5792;32926
75;3322;4224;7054;32926
76;3688;4733;5634;32926
77;3952;4863;5508;32926
78;3056;3826;5092;32926
79;3312;5372;7516;32926
80;3082;4636;5996;32926
81;2906;5074;9602;32926
82;3710;5107;6544;32926
83;3462;4437;5662;32926
84;3540;5564;6776;32926
85;4050;5509;7046;32926
86;3744;5161;8354;32926
87;3238;5088;7884;32926
88;2278;4214;6632;32926
89;3284;4082;5388;32926
90;2590;4374;5890;32926
91;2688;4014;5396;32926
92;3208;4206;5576;32926
93;2754;4574;6072;32926
94;3004;4688;7128;32926
95;2088;3760;4786;32926
96;2590;4246;6062;32926
97;2458;3944;5366;32926
98;2642;4442;5874;32926
99;2150;3955;6210;32926
