epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;3116;3778;4562;142274
1;2602;2919;3236;142274
2;2004;2279;2534;142274
3;1726;1901;2140;142274
4;1452;1553;1706;142274
5;760;1126;1384;142274
6;776;906;1008;142274
7;618;749;874;142274
8;478;590;660;142274
9;462;522;600;142274
10;476;500;552;142274
11;412;469;512;142274
12;414;450;496;142274
13;428;452;462;142274
14;418;443;466;142274
15;422;442;450;142274
16;416;441;460;142274
17;416;435;448;142274
18;392;431;450;142274
19;394;423;446;142274
20;396;417;436;142274
21;412;422;432;142274
22;412;424;452;142274
23;380;414;452;142274
24;384;407;428;142274
25;386;408;420;142274
26;376;403;418;142274
27;376;400;412;142274
28;368;399;414;142274
29;368;398;410;142274
30;374;397;410;142274
31;368;395;406;142274
32;370;395;406;142274
33;366;394;406;142274
34;364;393;404;142274
35;364;392;402;142274
36;360;391;402;142274
37;362;390;400;142274
38;360;390;400;142274
39;360;390;400;142274
40;360;390;400;142274
41;360;389;400;142274
42;360;388;400;142274
43;360;388;400;142274
44;358;388;400;142274
45;358;388;400;142274
46;358;387;400;142274
47;358;388;400;142274
48;358;387;400;142274
49;358;387;400;142274
50;358;387;400;142274
51;358;387;400;142274
52;358;387;400;142274
53;358;387;400;142274
54;358;387;400;142274
55;358;387;400;142274
56;358;387;400;142274
57;358;387;400;142274
58;358;387;400;142274
59;358;387;400;142274
60;358;387;400;142274
61;358;387;400;142274
62;358;387;400;142274
63;358;386;398;142274
64;358;386;398;142274
65;358;386;398;142274
66;358;386;398;142274
67;358;386;398;142274
68;358;386;398;142274
69;358;386;398;142274
70;358;386;398;142274
71;358;386;398;142274
72;358;386;398;142274
73;358;386;398;142274
74;358;386;398;142274
75;358;386;398;142274
76;358;386;398;142274
77;358;386;398;142274
78;358;386;398;142274
79;358;386;398;142274
80;358;386;398;142274
81;356;386;398;142274
82;356;386;398;142274
83;356;386;398;142274
84;356;386;398;142274
85;356;386;398;142274
86;356;386;398;142274
87;356;386;398;142274
88;356;386;398;142274
89;356;386;398;142274
90;356;385;398;142274
91;356;385;398;142274
92;356;385;398;142274
93;356;385;398;142274
94;356;385;398;142274
95;356;385;398;142274
96;356;385;398;142274
97;356;385;398;142274
98;356;385;398;142274
99;356;385;398;142274
