epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;15540;19678;22268;2163
1;12796;17959;26030;2163
2;14782;17539;21780;2163
3;11746;15635;19824;2163
4;6688;15315;18632;2163
5;6936;14557;19660;2163
6;5770;14442;19804;2163
7;6080;12813;17268;2163
8;6230;13126;19128;2163
9;8146;13183;19298;2163
10;5774;12256;17100;2163
11;5784;12184;16424;2163
12;3640;11761;16520;2163
13;5642;13126;18282;2163
14;2874;11047;16592;2163
15;3640;11194;16824;2163
16;3492;10854;18820;2163
17;2870;10836;16616;2163
18;2750;10803;16542;2163
19;2942;10442;16324;2163
20;2744;10472;16098;2163
21;2748;10514;16130;2163
22;2668;10481;16352;2163
23;2750;10463;16256;2163
24;2710;10442;16178;2163
25;2632;10489;16490;2163
26;2632;10416;15862;2163
27;2636;10356;16110;2163
28;2576;10455;15986;2163
29;2508;10345;15914;2163
30;2496;10400;16046;2163
31;2590;10340;15976;2163
32;2664;10343;16234;2163
33;2496;10263;16130;2163
34;2540;10324;16242;2163
35;2540;10333;16050;2163
36;2498;10293;16114;2163
37;2538;10218;16012;2163
38;2532;10245;16026;2163
39;2496;10261;16376;2163
40;2772;10247;16260;2163
41;2618;10171;16136;2163
42;2710;10232;16446;2163
43;2666;10026;15864;2163
44;2666;10173;16778;2163
45;2708;10137;16690;2163
46;2508;10138;15986;2163
47;3040;10107;16202;2163
48;2580;10025;16068;2163
49;2588;10081;16012;2163
50;2498;10050;15948;2163
51;2670;10072;16292;2163
52;2504;10082;15986;2163
53;2656;10074;15986;2163
54;2544;10027;15862;2163
55;2676;10073;16040;2163
56;2664;10121;16062;2163
57;2658;10074;16126;2163
58;2642;10139;16252;2163
59;2554;10058;16234;2163
60;2516;10072;16218;2163
61;2506;10001;15868;2163
62;2776;10050;16048;2163
63;2500;9959;16004;2163
64;2494;10042;16394;2163
65;2676;10090;16506;2163
66;2460;10000;16318;2163
67;2708;10133;16296;2163
68;2544;10010;16360;2163
69;2626;10099;16412;2163
70;2698;9988;15862;2163
71;2458;9993;16150;2163
72;2458;9894;16196;2163
73;2700;9981;16240;2163
74;2742;9959;16002;2163
75;2872;9976;15938;2163
76;2954;9908;15988;2163
77;2788;10023;16134;2163
78;2830;9934;16370;2163
79;2546;9960;15862;2163
80;2592;10018;16096;2163
81;2786;9994;16032;2163
82;3066;10052;16148;2163
83;2870;9945;15862;2163
84;3028;9926;15906;2163
85;3090;9982;15930;2163
86;3118;9920;15902;2163
87;3210;9973;16122;2163
88;3340;10037;15906;2163
89;3130;10005;15998;2163
90;3512;10010;15862;2163
91;3312;10013;15960;2163
92;2818;9949;15988;2163
93;2784;10038;15926;2163
94;2750;9841;15834;2163
95;2674;9856;15792;2163
96;2560;9916;16078;2163
97;2758;9887;16046;2163
98;2514;9818;15948;2163
99;2710;9888;16308;2163
