0;4064;4799;5242;111638
1;3712;4442;5120;111638
2;3070;3614;4328;111638
3;2730;3101;3628;111638
4;2620;2910;3094;111638
5;2376;2475;2582;111638
6;1908;2124;2582;111638
7;1604;1968;2284;111638
8;1372;1654;1992;111638
9;1186;1445;1740;111638
10;1044;1239;1550;111638
11;632;1011;1324;111638
12;924;1030;1128;111638
13;682;948;1236;111638
14;516;824;956;111638
15;514;791;932;111638
16;656;794;936;111638
17;550;648;832;111638
18;554;645;782;111638
19;558;606;680;111638
20;580;618;668;111638
21;496;539;564;111638
22;524;573;608;111638
23;518;562;656;111638
24;518;555;572;111638
25;508;540;594;111638
26;462;496;522;111638
27;480;538;576;111638
28;474;497;514;111638
29;486;510;542;111638
30;466;492;520;111638
31;478;512;548;111638
32;442;482;522;111638
33;462;471;478;111638
34;438;468;498;111638
35;442;495;522;111638
36;462;471;482;111638
37;452;471;482;111638
38;454;475;510;111638
39;464;477;488;111638
40;462;482;508;111638
41;430;472;516;111638
42;430;468;498;111638
43;464;474;486;111638
44;452;468;484;111638
45;444;467;486;111638
46;452;465;480;111638
47;434;452;474;111638
48;426;451;464;111638
49;432;445;468;111638
50;428;450;478;111638
51;426;449;470;111638
52;438;454;474;111638
53;426;452;474;111638
54;430;454;470;111638
55;428;445;470;111638
56;440;454;468;111638
57;438;450;474;111638
58;434;456;474;111638
59;416;444;480;111638
60;438;451;478;111638
61;436;448;472;111638
62;436;451;466;111638
63;424;442;466;111638
64;418;445;478;111638
65;426;448;478;111638
66;426;442;476;111638
67;432;451;476;111638
68;428;444;474;111638
69;426;445;470;111638
70;424;446;476;111638
71;434;449;466;111638
72;436;448;470;111638
73;426;451;474;111638
74;428;446;472;111638
75;418;441;472;111638
76;424;447;476;111638
77;434;449;462;111638
78;432;452;470;111638
79;434;453;474;111638
80;428;444;472;111638
81;428;439;454;111638
82;420;434;454;111638
83;420;444;470;111638
84;426;442;470;111638
85;430;443;472;111638
86;426;444;476;111638
87;428;449;468;111638
88;424;439;474;111638
89;420;446;474;111638
90;426;452;472;111638
91;426;442;466;111638
92;422;442;468;111638
93;424;446;472;111638
94;430;446;474;111638
95;422;445;464;111638
96;422;440;458;111638
97;414;437;472;111638
98;424;441;470;111638
99;424;440;466;111638
