epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;7922;9070;11812;29700
1;4352;7322;9202;29700
2;6224;8076;10204;29700
3;6546;8210;9716;29700
4;5914;7420;8292;29700
5;5266;7835;9148;29700
6;5956;8044;9472;29700
7;5434;7526;10760;29700
8;5222;7857;9604;29700
9;5956;7333;9940;29700
10;5858;7520;10770;29700
11;4794;8037;10422;29700
12;5032;8171;12092;29700
13;5914;7129;8668;29700
14;4064;7365;10606;29700
15;4506;7192;10718;29700
16;4760;7178;8968;29700
17;2906;7250;10502;29700
18;5562;7098;8844;29700
19;6236;7782;9992;29700
20;6554;7553;9034;29700
21;6306;7382;8558;29700
22;5084;6579;8826;29700
23;5146;6541;8780;29700
24;5434;7486;9470;29700
25;4546;6300;8992;29700
26;6124;7002;8568;29700
27;5990;6525;7714;29700
28;4752;5951;6946;29700
29;4660;6162;7998;29700
30;4144;6242;9042;29700
31;5068;5856;6980;29700
32;4438;5099;6392;29700
33;3070;6080;8386;29700
34;5106;6581;8690;29700
35;4224;5084;6368;29700
36;4340;5608;8842;29700
37;4858;6624;7298;29700
38;2482;4979;6454;29700
39;4450;6034;6904;29700
40;5176;6215;7368;29700
41;4564;6168;8574;29700
42;5398;6584;8444;29700
43;4684;6407;8386;29700
44;4194;5798;8162;29700
45;3594;5105;6578;29700
46;3442;5345;7192;29700
47;3980;5904;7766;29700
48;4466;5461;6598;29700
49;4158;5791;6974;29700
50;2808;6106;8892;29700
51;3598;6062;8496;29700
52;2758;5411;8574;29700
53;3134;5119;6858;29700
54;2442;5291;7568;29700
55;4268;5494;6646;29700
56;4080;5287;8684;29700
57;3620;6247;10372;29700
58;3100;5580;7668;29700
59;4462;7023;11712;29700
60;3938;4919;5956;29700
61;4220;5111;5904;29700
62;2900;4926;6850;29700
63;3264;4894;7378;29700
64;3092;5498;7580;29700
65;4672;6002;8328;29700
66;4082;5361;7090;29700
67;4124;5829;8622;29700
68;3642;5205;7256;29700
69;3484;4970;7580;29700
70;3960;5136;7234;29700
71;4306;6279;9574;29700
72;3804;5202;7610;29700
73;3754;5319;7456;29700
74;4616;5424;6064;29700
75;2882;5142;8562;29700
76;3206;5063;6134;29700
77;3428;5288;6222;29700
78;3780;4916;6238;29700
79;4140;5294;6496;29700
80;3076;5699;9246;29700
81;3764;5122;7170;29700
82;3980;4490;5494;29700
83;2420;4614;6468;29700
84;3108;4516;5854;29700
85;2410;4691;5878;29700
86;3144;4564;5212;29700
87;3548;4664;5566;29700
88;3342;4638;6158;29700
89;3244;5315;7536;29700
90;2916;4677;6510;29700
91;3008;4704;6464;29700
92;3430;4710;5650;29700
93;2578;4962;6202;29700
94;4116;5409;7086;29700
95;3542;5192;5772;29700
96;2190;4925;5932;29700
97;2686;4706;5626;29700
98;3202;4820;5986;29700
99;2746;4856;6880;29700
