epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;852;1550;3340;1136
1;802;1703;3238;1136
2;580;1521;2820;1136
3;934;1369;2846;1136
4;774;1329;2530;1136
5;904;1221;1476;1136
6;810;1290;2464;1136
7;584;1084;1420;1136
8;860;1501;3562;1136
9;578;1397;3076;1136
10;580;1342;3014;1136
11;756;1314;3228;1136
12;808;1087;1966;1136
13;718;1060;1544;1136
14;786;1476;2946;1136
15;776;1348;2576;1136
16;668;1156;1822;1136
17;734;1246;1764;1136
18;748;1067;1562;1136
19;714;1295;2944;1136
20;832;1343;2792;1136
21;830;1102;1506;1136
22;548;1144;1660;1136
23;634;1218;2526;1136
24;766;1235;2010;1136
25;760;1357;3086;1136
26;722;1118;1458;1136
27;686;1361;2688;1136
28;708;1341;2822;1136
29;730;1330;3428;1136
