epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;842;1045;1258;304
1;682;996;1258;304
2;682;900;1104;304
3;682;882;1104;304
4;564;831;1104;304
5;564;828;1104;304
6;528;808;1104;304
7;528;791;1104;304
8;528;791;1104;304
9;528;779;1104;304
10;528;764;1028;304
11;442;739;1022;304
12;436;732;1022;304
13;436;731;1022;304
14;436;732;1022;304
15;436;732;1022;304
16;436;731;1022;304
17;436;728;1022;304
18;436;728;1022;304
19;436;728;1022;304
20;436;721;1022;304
21;436;724;1022;304
22;436;721;1022;304
23;436;721;1022;304
24;436;721;1022;304
25;436;721;1022;304
26;436;721;1022;304
27;436;721;1022;304
28;436;721;1022;304
29;436;721;1022;304
30;436;721;1022;304
31;436;721;1022;304
32;436;721;1022;304
33;436;721;1022;304
34;436;721;1022;304
35;436;717;1022;304
36;436;717;1022;304
37;436;717;1022;304
38;436;717;1022;304
39;436;713;1022;304
40;436;709;1022;304
41;436;705;1022;304
42;436;705;1022;304
43;436;705;1022;304
44;436;705;1022;304
45;436;705;1022;304
46;436;705;1022;304
47;436;705;1022;304
48;436;702;1022;304
49;436;693;1022;304
50;436;693;1022;304
51;436;693;1022;304
52;436;693;1022;304
53;436;693;1022;304
54;436;693;1022;304
55;436;689;1022;304
56;436;689;1022;304
57;436;689;1022;304
58;436;689;1022;304
59;436;689;1022;304
60;436;689;1022;304
61;436;689;1022;304
62;436;689;1022;304
63;436;689;1022;304
64;436;689;1022;304
65;436;690;1022;304
66;436;689;1022;304
67;436;690;1022;304
68;436;689;1022;304
69;436;689;1022;304
70;436;689;1022;304
71;436;689;1022;304
72;436;689;1022;304
73;436;689;1022;304
74;436;689;1022;304
75;436;690;1022;304
76;436;689;1022;304
77;436;689;1022;304
78;436;689;1022;304
79;436;689;1022;304
80;436;689;1022;304
81;436;689;1022;304
82;436;689;1022;304
83;436;689;1022;304
84;436;689;1022;304
85;436;689;1022;304
86;436;689;1022;304
87;436;689;1022;304
88;436;689;1022;304
89;436;689;1022;304
90;436;689;1022;304
91;436;689;1022;304
92;436;689;1022;304
93;436;689;1022;304
94;436;689;1022;304
95;436;689;1022;304
96;436;689;1022;304
97;436;689;1022;304
98;436;693;1022;304
99;436;689;1022;304
