epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;964;3154;7228;175
1;764;3140;8782;175
2;924;2442;3952;175
3;844;1914;3252;175
4;688;1859;4356;175
5;774;1812;4360;175
6;774;1472;2718;175
7;572;1164;2022;175
8;572;1338;2946;175
9;572;1035;1496;175
10;526;1047;1552;175
11;616;1429;4760;175
12;572;1242;2742;175
13;572;1234;2982;175
14;574;1425;4758;175
15;612;1515;4830;175
16;614;1396;4814;175
17;574;1361;4798;175
18;614;1189;2908;175
19;612;1282;2920;175
20;692;1283;3076;175
21;734;1200;2832;175
22;580;1020;1628;175
23;578;982;1368;175
24;496;956;1652;175
25;526;961;1468;175
26;624;962;1378;175
27;532;959;1538;175
28;530;938;1294;175
29;614;946;1434;175
30;588;946;1420;175
31;532;998;1496;175
32;666;967;1474;175
33;580;1004;1470;175
34;666;986;1528;175
35;666;969;1384;175
36;542;914;1296;175
37;598;934;1296;175
38;678;923;1300;175
39;634;962;1342;175
40;594;914;1342;175
41;592;977;1302;175
42;718;965;1246;175
43;686;974;1334;175
44;620;989;1326;175
45;666;948;1290;175
46;672;934;1336;175
47;570;937;1430;175
48;684;1013;1526;175
49;572;978;1446;175
50;684;1020;1520;175
51;496;961;1572;175
52;536;930;1366;175
53;578;916;1278;175
54;612;954;1320;175
55;528;911;1210;175
56;540;917;1394;175
57;652;959;1394;175
58;538;959;1422;175
59;678;940;1380;175
60;498;930;1364;175
61;690;949;1342;175
62;540;925;1334;175
63;496;901;1406;175
64;496;885;1266;175
65;500;880;1314;175
66;648;960;1412;175
67;532;923;1402;175
68;452;933;1458;175
69;452;920;1230;175
70;580;897;1244;175
71;494;876;1226;175
72;494;897;1288;175
73;494;883;1296;175
74;494;931;1294;175
75;532;916;1210;175
76;542;914;1312;175
77;662;947;1304;175
78;542;975;1374;175
79;624;947;1536;175
80;538;960;1662;175
81;496;927;1456;175
82;458;874;1456;175
83;462;941;1326;175
84;458;943;1380;175
85;458;953;1428;175
86;454;941;1506;175
87;454;937;1338;175
88;454;952;1422;175
89;458;868;1340;175
90;462;935;1464;175
91;458;928;1406;175
92;462;875;1276;175
93;500;889;1272;175
94;578;908;1318;175
95;536;862;1296;175
96;536;885;1272;175
97;456;872;1308;175
98;494;851;1274;175
99;548;899;1428;175
