epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;842;1529;2912;166
1;934;1545;3126;166
2;774;1256;2082;166
3;844;1168;2070;166
4;686;1104;1984;166
5;694;1072;2070;166
6;728;1051;1842;166
7;648;1028;1858;166
8;648;1018;1852;166
9;566;1011;1842;166
10;566;996;1876;166
11;566;995;1846;166
12;566;994;1842;166
13;608;981;1814;166
14;530;956;1818;166
15;488;955;1814;166
16;532;933;1814;166
17;530;942;1814;166
18;490;930;1814;166
19;492;919;1750;166
20;488;915;1750;166
21;488;913;1734;166
22;488;906;1734;166
23;488;911;1720;166
24;488;893;1712;166
25;488;893;1712;166
26;488;892;1688;166
27;488;885;1738;166
28;490;877;1694;166
29;488;867;1688;166
30;488;855;1600;166
31;488;879;1690;166
32;454;864;1696;166
33;488;868;1690;166
34;488;874;1664;166
35;454;858;1664;166
36;454;845;1600;166
37;454;840;1600;166
38;454;840;1598;166
39;454;840;1598;166
40;454;835;1538;166
41;452;843;1584;166
42;454;831;1542;166
43;452;833;1538;166
44;452;841;1538;166
45;452;824;1538;166
46;454;828;1538;166
47;454;833;1538;166
48;452;822;1522;166
49;452;827;1522;166
50;452;815;1476;166
51;452;813;1414;166
52;452;809;1414;166
53;452;809;1414;166
54;452;803;1354;166
55;452;807;1398;166
56;452;808;1398;166
57;452;803;1394;166
58;452;798;1352;166
59;452;798;1352;166
60;452;798;1352;166
61;452;799;1352;166
62;452;798;1352;166
63;454;798;1352;166
64;452;798;1352;166
65;452;798;1352;166
66;452;789;1352;166
67;452;789;1352;166
68;452;793;1352;166
69;452;793;1352;166
70;452;797;1352;166
71;452;792;1352;166
72;452;782;1290;166
73;432;780;1290;166
74;432;776;1290;166
75;452;785;1290;166
76;432;768;1290;166
77;426;763;1290;166
78;426;763;1290;166
79;426;763;1290;166
80;382;758;1290;166
81;386;759;1290;166
82;382;749;1290;166
83;382;745;1290;166
84;382;744;1290;166
85;382;744;1290;166
86;382;738;1228;166
87;382;738;1228;166
88;382;732;1172;166
89;382;738;1228;166
90;382;732;1172;166
91;382;732;1172;166
92;382;724;1108;166
93;382;732;1172;166
94;382;732;1172;166
95;386;724;1108;166
96;382;724;1108;166
97;382;729;1108;166
98;382;728;1108;166
99;384;729;1108;166
