epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;944;1581;2004;2893
1;944;2227;3450;2893
2;1010;1556;2312;2893
3;874;1626;2652;2893
4;1028;2586;4416;2893
5;978;1355;1828;2893
6;782;1268;1632;2893
7;826;1536;2092;2893
8;952;1354;1802;2893
9;666;1274;1658;2893
10;1040;1527;2642;2893
11;856;1608;2898;2893
12;706;1098;1760;2893
13;784;1351;1924;2893
14;920;1730;3468;2893
15;594;1690;3670;2893
16;826;1780;3810;2893
17;724;1644;4354;2893
18;752;2269;4388;2893
19;796;1524;3502;2893
20;836;1807;4334;2893
21;1068;1812;3918;2893
22;764;1993;3364;2893
23;898;1490;3252;2893
24;594;1022;1852;2893
25;670;1157;1604;2893
26;922;1527;3096;2893
27;756;1939;3222;2893
28;664;1401;3320;2893
29;930;2171;4766;2893
30;842;1485;2778;2893
31;664;1362;2660;2893
32;712;1421;3214;2893
33;668;1730;3258;2893
34;506;1410;3204;2893
35;1000;1142;1340;2893
36;760;1331;2578;2893
37;706;978;1510;2893
38;826;2017;6044;2893
39;944;1152;1348;2893
40;686;1214;1518;2893
41;552;1345;3208;2893
42;706;1532;3224;2893
43;706;1973;3364;2893
44;826;1100;1400;2893
45;1094;1266;1476;2893
46;890;1132;1340;2893
47;1058;1715;3106;2893
48;720;1431;3168;2893
49;632;1574;3376;2893
50;750;1566;3386;2893
51;896;1493;2654;2893
52;934;1463;2630;2893
53;650;1355;2706;2893
54;630;1499;2950;2893
55;968;1468;3052;2893
56;824;1133;1608;2893
57;670;1036;1244;2893
58;626;976;1298;2893
59;754;1059;1298;2893
60;718;1059;1648;2893
61;710;934;1362;2893
62;724;921;1096;2893
63;562;902;1152;2893
64;760;902;1142;2893
65;626;1002;1352;2893
66;656;881;1120;2893
67;736;1196;2474;2893
68;480;934;1360;2893
69;592;903;1398;2893
70;722;974;1240;2893
71;802;1082;1374;2893
72;766;940;1152;2893
73;560;824;1188;2893
74;692;986;1250;2893
75;900;1051;1406;2893
76;688;1027;1374;2893
77;594;980;1512;2893
78;682;1050;1284;2893
79;638;999;1370;2893
80;654;919;1326;2893
81;686;982;1416;2893
82;598;910;1298;2893
83;730;1018;1312;2893
84;596;973;1390;2893
85;650;998;1322;2893
86;814;1008;1136;2893
87;756;857;1170;2893
88;720;925;1186;2893
89;728;1039;1486;2893
90;812;1041;1198;2893
91;774;1086;1740;2893
92;812;1009;1338;2893
93;724;954;1178;2893
94;712;962;1148;2893
95;762;989;1196;2893
96;802;940;1100;2893
97;506;873;1104;2893
98;762;890;1080;2893
99;676;942;1166;2893
