epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;1056;1338;1606;7493
1;866;1300;1726;7493
2;890;1467;2070;7493
3;1020;1540;1858;7493
4;1100;1672;2340;7493
5;864;1395;1986;7493
6;788;1477;2248;7493
7;790;1406;2134;7493
8;1152;1644;2252;7493
9;1422;1735;2022;7493
10;1172;1553;2338;7493
11;1016;1309;1650;7493
12;862;1544;2502;7493
13;1030;1575;2566;7493
14;834;1649;2488;7493
15;920;1708;3018;7493
16;834;1342;1892;7493
17;838;1372;1892;7493
18;864;1282;2094;7493
19;958;1570;2502;7493
20;788;1092;1430;7493
21;800;1296;2344;7493
22;846;1398;2304;7493
23;760;1214;1930;7493
24;848;1461;2448;7493
25;792;1667;2448;7493
26;760;1234;1696;7493
27;762;1344;2160;7493
28;760;1300;1794;7493
29;962;1591;2532;7493
30;878;1452;2156;7493
31;1050;1380;1780;7493
32;802;1165;1380;7493
33;762;1136;1384;7493
34;784;1136;1434;7493
35;836;1230;1520;7493
36;836;1168;1552;7493
37;1138;1582;2112;7493
38;920;1438;1970;7493
39;846;1298;1884;7493
40;846;1300;2072;7493
41;764;1085;1452;7493
42;850;1193;1794;7493
43;900;1189;1722;7493
44;760;1384;2556;7493
45;1032;1602;3112;7493
46;942;1459;2748;7493
47;1258;1594;2702;7493
48;868;1290;1728;7493
49;760;1229;1528;7493
50;1060;1199;1276;7493
51;764;1016;1258;7493
52;760;1076;1574;7493
53;1204;1360;1572;7493
54;760;1256;1574;7493
55;860;1282;1706;7493
56;868;1134;1516;7493
57;930;1300;1660;7493
58;906;1382;1934;7493
59;760;1276;1540;7493
60;784;1113;1456;7493
61;1012;1216;1712;7493
62;812;1082;1382;7493
63;802;1028;1668;7493
64;764;1178;1610;7493
65;760;1240;1788;7493
66;868;1076;1602;7493
67;944;1164;1302;7493
68;838;1197;1582;7493
69;844;1193;1856;7493
70;770;1002;1352;7493
71;810;996;1226;7493
72;894;1313;1766;7493
73;1122;1280;1566;7493
74;948;1087;1262;7493
75;910;1067;1306;7493
76;1016;1203;1408;7493
77;744;1120;1348;7493
78;788;1142;1482;7493
79;760;998;1344;7493
80;760;1115;1744;7493
81;762;1044;1686;7493
82;812;1059;1604;7493
83;730;1107;1650;7493
84;762;1022;1350;7493
85;682;1007;1702;7493
86;806;1193;1656;7493
87;832;1257;1762;7493
88;1032;1304;1530;7493
89;682;1206;1708;7493
90;820;1220;1666;7493
91;740;1047;1506;7493
92;744;919;1116;7493
93;810;1149;1898;7493
94;804;1115;1414;7493
95;996;1502;1906;7493
96;1024;1493;2198;7493
97;1114;1334;1568;7493
98;968;1396;1926;7493
99;1026;1420;1686;7493
