epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;970;3366;9302;175
1;1388;5138;9344;175
2;1140;5114;12922;175
3;1628;4566;11638;175
4;974;3556;12838;175
5;938;3353;10920;175
6;936;3753;10920;175
7;900;3156;8198;175
8;938;3240;8348;175
9;730;3153;8168;175
10;824;2874;8172;175
11;734;2880;8240;175
12;734;2883;8202;175
13;788;2913;8206;175
14;818;2858;8258;175
15;788;2911;8096;175
16;756;2919;8256;175
17;754;2986;8212;175
18;712;2972;8072;175
19;716;2973;8028;175
20;776;2958;8092;175
21;782;2944;7948;175
22;628;2822;7948;175
23;708;2817;7946;175
24;710;2837;7902;175
25;630;2825;7902;175
26;802;2819;7902;175
27;712;2874;7904;175
28;628;2834;7902;175
29;632;2789;7902;175
30;708;2803;7902;175
31;708;2793;7902;175
32;672;2785;7868;175
33;626;2755;7986;175
34;628;2765;7822;175
35;708;2779;7944;175
36;626;2741;7864;175
37;666;2760;7968;175
38;626;2749;7760;175
39;626;2719;7822;175
40;670;2721;7762;175
41;668;2745;7740;175
42;626;2709;7760;175
43;714;2745;7760;175
44;710;2749;7738;175
45;754;2741;7910;175
46;626;2710;7738;175
47;630;2696;7786;175
48;708;2687;7802;175
49;752;2736;7738;175
50;794;2722;7784;175
51;756;2746;7740;175
52;752;2721;7738;175
53;672;2740;7738;175
54;708;2747;7738;175
55;670;2739;7702;175
56;670;2724;7746;175
57;712;2725;7742;175
58;712;2724;7668;175
59;666;2672;7668;175
60;710;2689;7796;175
61;668;2669;7668;175
62;670;2652;7666;175
63;668;2666;7672;175
64;672;2684;7666;175
65;672;2662;7628;175
66;670;2653;7666;175
67;626;2653;7666;175
68;626;2599;7502;175
69;626;2628;7568;175
70;670;2680;7670;175
71;672;2677;7566;175
72;628;2643;7568;175
73;628;2615;7504;175
74;670;2637;7504;175
75;672;2659;7608;175
76;714;2633;7504;175
77;716;2652;7668;175
78;712;2648;7668;175
79;712;2656;7668;175
80;626;2631;7502;175
81;626;2626;7462;175
82;676;2626;7546;175
83;686;2645;7506;175
84;674;2670;7506;175
85;672;2686;7712;175
86;672;2620;7672;175
87;672;2637;7670;175
88;626;2604;7460;175
89;712;2595;7462;175
90;712;2587;7460;175
91;668;2577;7462;175
92;710;2575;7460;175
93;628;2598;7462;175
94;672;2564;7466;175
95;674;2578;7464;175
96;672;2580;7578;175
97;674;2571;7508;175
98;670;2579;7460;175
99;710;2587;7460;175
