epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;684;1198;1544;7419
1;686;1552;2386;7419
2;1016;1212;1390;7419
3;992;1205;1402;7419
4;1028;1755;2364;7419
5;1110;1489;2176;7419
6;1110;1706;2694;7419
7;1094;1749;3278;7419
8;882;1370;2378;7419
9;772;1903;3334;7419
10;738;978;1114;7419
11;796;1609;3122;7419
12;782;1029;1422;7419
13;894;1473;2112;7419
14;1040;1857;3166;7419
15;970;1077;1186;7419
16;894;1608;2354;7419
17;828;1378;2430;7419
18;774;1360;3444;7419
19;628;1582;3390;7419
20;628;1082;1984;7419
21;934;1548;2584;7419
22;836;1230;2262;7419
23;884;1116;1590;7419
24;830;994;1180;7419
25;672;949;1264;7419
26;674;1480;3414;7419
27;878;1402;2082;7419
28;962;1856;3768;7419
29;844;1565;3766;7419
30;716;951;1186;7419
31;628;1049;1628;7419
32;754;1190;2314;7419
33;714;1140;2092;7419
34;886;1230;2054;7419
35;796;969;1210;7419
36;844;1022;1254;7419
37;628;1080;1270;7419
38;682;1020;1268;7419
39;724;986;1104;7419
40;684;989;1302;7419
41;840;1314;2730;7419
42;728;1020;1278;7419
43;872;1079;1470;7419
44;686;1009;1400;7419
45;682;935;1140;7419
46;682;1160;1436;7419
47;832;1062;1424;7419
48;628;1167;1474;7419
49;884;1179;1338;7419
50;830;1252;1510;7419
51;844;1166;1588;7419
52;770;1182;1750;7419
53;676;1028;1472;7419
54;724;1028;1332;7419
55;730;1158;1856;7419
56;732;932;1104;7419
57;932;1098;1306;7419
58;628;899;1104;7419
59;628;973;1264;7419
60;798;1042;1228;7419
61;830;1138;1794;7419
62;630;1022;1262;7419
63;716;1048;1442;7419
64;816;1104;1404;7419
65;692;949;1068;7419
66;774;1030;1268;7419
67;772;935;1292;7419
68;776;1008;1328;7419
69;736;1063;1292;7419
70;1042;1126;1266;7419
71;676;1176;1442;7419
72;886;1013;1154;7419
73;882;1088;1232;7419
74;634;919;1184;7419
75;662;922;1268;7419
76;748;1074;1312;7419
77;896;1109;1346;7419
78;1004;1164;1470;7419
79;776;1144;1400;7419
80;730;1188;1574;7419
81;830;1194;1694;7419
82;918;1138;1670;7419
83;838;1112;1746;7419
84;902;1249;2038;7419
85;852;1133;1324;7419
86;730;1134;1494;7419
87;886;1151;1288;7419
88;676;1212;1712;7419
89;686;1117;1582;7419
90;932;1295;1572;7419
91;714;889;1032;7419
92;724;990;1234;7419
93;734;1102;1480;7419
94;812;1306;2418;7419
95;774;1152;1444;7419
96;1058;1323;1490;7419
97;848;1101;1276;7419
98;802;1084;1406;7419
99;896;1062;1278;7419
