epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;1052;1502;2210;8208
1;1014;1667;2612;8208
2;1060;1523;1984;8208
3;858;1266;1968;8208
4;1348;1789;2076;8208
5;1430;1815;2168;8208
6;1508;1938;2624;8208
7;874;1571;2830;8208
8;960;1627;2702;8208
9;1054;2002;3312;8208
10;898;1539;2010;8208
11;874;1251;1566;8208
12;1132;1389;1932;8208
13;1090;1424;1808;8208
14;926;1315;1604;8208
15;1350;1485;1704;8208
16;1086;1394;2222;8208
17;1008;1519;2268;8208
18;1340;1679;2396;8208
19;966;1512;2026;8208
20;1102;1638;2644;8208
21;1292;1703;2806;8208
22;1102;1383;1892;8208
23;1306;1668;2058;8208
24;1330;1764;2144;8208
25;1444;1578;1756;8208
26;1090;1640;2690;8208
27;1178;1596;2130;8208
28;1344;1709;2360;8208
29;1158;1618;1848;8208
30;972;1628;2262;8208
31;1318;1818;2960;8208
32;1036;1402;1698;8208
33;1130;1415;1594;8208
34;804;1668;2538;8208
35;1264;1663;2706;8208
36;1400;1733;2840;8208
37;1286;1448;1550;8208
38;1168;1558;2006;8208
39;1378;1557;1954;8208
40;1262;1493;1806;8208
41;932;1544;1994;8208
42;1050;1638;1856;8208
43;950;1647;2076;8208
44;1048;1464;2176;8208
45;1060;1474;2156;8208
46;1276;1534;1928;8208
47;1104;1495;1918;8208
48;1252;1513;1862;8208
49;1266;1608;2162;8208
50;1400;1533;1752;8208
51;1152;1589;2288;8208
52;1252;1642;1838;8208
53;1094;1430;1692;8208
54;1404;1752;2076;8208
55;1360;1909;2800;8208
56;1300;1631;1954;8208
57;1532;1862;2314;8208
58;1376;1760;2302;8208
59;1126;1503;2034;8208
60;1220;1743;2204;8208
61;1582;2156;2728;8208
62;1498;2077;2624;8208
63;1026;1876;2460;8208
64;946;1620;2256;8208
65;1444;1946;2488;8208
66;1182;1845;2190;8208
67;1384;1786;2198;8208
68;1332;1770;2072;8208
69;1252;1862;2260;8208
70;1322;1956;2764;8208
71;1390;2081;3192;8208
72;1506;1650;1884;8208
73;1012;1518;1992;8208
74;1336;1674;2126;8208
75;1354;1806;2296;8208
76;1076;1469;2172;8208
77;1458;1554;1718;8208
78;1194;1827;2976;8208
79;1232;1877;2932;8208
80;1146;1670;2448;8208
81;1670;2088;2452;8208
82;1398;1818;2138;8208
83;1480;1902;2760;8208
84;914;1668;1958;8208
85;1284;1938;2426;8208
86;978;1670;2312;8208
87;1284;2042;2824;8208
88;1222;1882;2662;8208
89;1424;1879;2546;8208
90;1060;2088;2858;8208
91;1204;1886;2512;8208
92;902;1702;2270;8208
93;960;1382;1694;8208
94;1636;2025;2348;8208
95;964;1542;2508;8208
96;1282;1796;2768;8208
97;1724;2044;2380;8208
98;1636;2066;2838;8208
99;1356;2038;2686;8208
