epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;648;749;848;19473
1;442;571;650;19473
2;568;634;702;19473
3;474;588;708;19473
4;474;538;622;19473
5;452;520;576;19473
6;456;507;566;19473
7;452;467;490;19473
8;444;456;476;19473
9;444;468;492;19473
10;406;448;496;19473
11;430;448;458;19473
12;356;391;424;19473
13;348;390;418;19473
14;316;345;414;19473
15;316;361;424;19473
16;306;359;412;19473
17;244;323;376;19473
18;304;349;406;19473
19;242;329;410;19473
20;256;305;378;19473
21;254;306;374;19473
22;240;301;374;19473
23;254;304;370;19473
24;242;305;384;19473
25;246;292;370;19473
26;234;290;372;19473
27;240;289;374;19473
28;240;288;372;19473
29;232;288;378;19473
30;222;286;380;19473
31;220;282;372;19473
32;230;287;374;19473
33;238;285;374;19473
34;216;277;372;19473
35;224;280;374;19473
36;216;275;374;19473
37;214;273;370;19473
38;214;273;372;19473
39;218;273;372;19473
40;208;269;370;19473
41;216;271;370;19473
42;218;271;366;19473
43;216;270;356;19473
44;212;264;358;19473
45;212;267;370;19473
46;204;264;360;19473
47;214;264;350;19473
48;222;268;372;19473
49;218;266;356;19473
50;216;255;306;19473
51;202;260;348;19473
52;214;253;308;19473
53;198;258;352;19473
54;208;252;310;19473
55;208;245;280;19473
56;206;247;304;19473
57;212;249;308;19473
58;208;243;280;19473
59;210;240;272;19473
60;210;240;272;19473
61;208;243;284;19473
62;212;248;272;19473
63;212;249;282;19473
64;198;242;282;19473
65;200;242;280;19473
66;212;239;266;19473
67;212;248;278;19473
68;214;246;272;19473
69;206;239;270;19473
70;208;238;268;19473
71;208;237;264;19473
72;210;242;268;19473
73;214;243;270;19473
74;212;243;268;19473
75;212;244;270;19473
76;210;235;266;19473
77;198;234;272;19473
78;204;236;270;19473
79;202;242;280;19473
80;206;238;270;19473
81;208;235;268;19473
82;206;236;266;19473
83;198;235;266;19473
84;202;237;268;19473
85;198;236;266;19473
86;208;238;266;19473
87;206;237;266;19473
88;206;238;268;19473
89;208;242;280;19473
90;208;242;280;19473
91;210;236;272;19473
92;210;244;270;19473
93;210;248;282;19473
94;210;242;280;19473
95;210;248;280;19473
96;196;233;266;19473
97;204;240;276;19473
98;200;240;280;19473
99;200;234;266;19473
