epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;986;2046;2996;9743
1;994;1701;2628;9743
2;1202;1744;2398;9743
3;1116;1618;2164;9743
4;1292;1762;2130;9743
5;1476;1556;1840;9743
6;1574;2058;2960;9743
7;1726;2288;2880;9743
8;1334;2486;4032;9743
9;1764;2088;2730;9743
10;2018;2165;2256;9743
11;1286;1866;2220;9743
12;1006;2170;3890;9743
13;1924;2462;2774;9743
14;1780;2244;3096;9743
15;1240;2182;3152;9743
16;1944;2452;3060;9743
17;1496;2213;3118;9743
18;1424;2460;4466;9743
19;1974;2569;3738;9743
20;2084;2941;3988;9743
21;2134;2682;3288;9743
22;1862;2477;3178;9743
23;1770;2254;3064;9743
24;1324;2492;3804;9743
25;1982;2272;2710;9743
26;2034;2902;3834;9743
27;2296;3151;4354;9743
28;1830;2708;3886;9743
29;2080;3547;4298;9743
30;2760;3375;4718;9743
31;2018;3212;4644;9743
32;3012;4168;5472;9743
33;2236;3226;4746;9743
34;1694;2915;4296;9743
35;1936;2858;3986;9743
36;2268;3452;5096;9743
37;1876;3196;3794;9743
38;2152;3470;4346;9743
39;2064;3266;4222;9743
40;1986;2579;3464;9743
41;1662;2259;2652;9743
42;1130;2437;3790;9743
43;2432;3453;4074;9743
44;1250;2754;4166;9743
45;2060;3916;5222;9743
46;2006;3752;5242;9743
47;1616;3246;4772;9743
48;2378;3580;5390;9743
49;2778;3989;5238;9743
50;1384;3448;4874;9743
51;1476;3883;5228;9743
52;1628;3293;4580;9743
53;3238;3534;3800;9743
54;2736;4340;5512;9743
55;3446;4677;7578;9743
56;1720;3772;7290;9743
57;3466;4543;7102;9743
58;2688;4095;5930;9743
59;2732;4117;5096;9743
60;2320;3856;5224;9743
61;1496;3528;5188;9743
62;3060;5119;7254;9743
63;2728;5016;7786;9743
64;2838;4603;6966;9743
65;1496;4514;8164;9743
66;1998;5136;8064;9743
67;2484;5548;8580;9743
68;2372;3800;6626;9743
69;2352;4375;8016;9743
70;2662;4800;6794;9743
71;3218;4792;7110;9743
72;3720;4977;6414;9743
73;3394;4212;5168;9743
74;2680;4614;6630;9743
75;1672;3170;4004;9743
76;1716;3191;3848;9743
77;3284;4871;7508;9743
78;4004;4954;6518;9743
79;1782;3246;4252;9743
80;1244;3268;5026;9743
81;1934;2939;4146;9743
82;2900;3679;4530;9743
83;1748;3435;4480;9743
84;3000;3784;5446;9743
85;1980;4277;5036;9743
86;1196;4637;6176;9743
87;2352;4706;7174;9743
88;2820;4465;6228;9743
89;1544;3340;4880;9743
90;2676;4507;6622;9743
91;2366;3744;5240;9743
92;2286;4144;7138;9743
93;3100;4430;5504;9743
94;2938;4861;6672;9743
95;1946;4633;7032;9743
96;3554;4929;5994;9743
97;2056;4045;6734;9743
98;3310;4925;7608;9743
99;1496;3314;4062;9743
