epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;1142;1558;2180;10690
1;1094;1427;1786;10690
2;1354;1780;3202;10690
3;1380;1646;2270;10690
4;1384;1675;1996;10690
5;1054;1529;2468;10690
6;1226;1889;2842;10690
7;1268;1392;1540;10690
8;1398;2121;2528;10690
9;1782;2390;2982;10690
10;1072;1673;2008;10690
11;1398;1574;1808;10690
12;1216;1822;2878;10690
13;1422;2035;3736;10690
14;1238;1984;2844;10690
15;1732;2509;3374;10690
16;1590;2098;2372;10690
17;1508;2011;2364;10690
18;1518;1978;2708;10690
19;1566;2074;3258;10690
20;1618;1926;2576;10690
21;1560;2160;2826;10690
22;1346;2042;2300;10690
23;1660;2127;2564;10690
24;1828;2233;2500;10690
25;2422;2862;3134;10690
26;2302;2534;2738;10690
27;1550;2528;3124;10690
28;1612;2490;3154;10690
29;1710;2721;3330;10690
30;1262;2138;3346;10690
31;1298;2335;3202;10690
32;1536;1945;2788;10690
33;1104;2356;3742;10690
34;1554;2798;3556;10690
35;2136;2492;2962;10690
36;1978;2529;3200;10690
37;1702;2621;4048;10690
38;1760;2772;3190;10690
39;2260;2904;3754;10690
40;1592;2932;4284;10690
41;1652;2801;4110;10690
42;1188;2646;4852;10690
43;2580;3450;4384;10690
44;2402;3259;4580;10690
45;1238;2529;3782;10690
46;2104;3422;4160;10690
47;1932;3164;4502;10690
48;2190;3110;4846;10690
49;3330;4186;5454;10690
50;2046;2942;3682;10690
51;1808;2916;3962;10690
52;1984;3336;5274;10690
53;1918;3324;5244;10690
54;1886;3351;5588;10690
55;2620;3843;5196;10690
56;2106;2943;3644;10690
57;2740;3789;4920;10690
58;2336;3772;4478;10690
59;2396;4026;5236;10690
60;1642;3806;5448;10690
61;1706;3481;6050;10690
62;2026;2721;4754;10690
63;2536;3476;4610;10690
64;2034;2785;3874;10690
65;1682;2974;4524;10690
66;2140;3704;4728;10690
67;2746;3766;4388;10690
68;1466;4149;5642;10690
69;2158;4233;5872;10690
70;2126;3612;5382;10690
71;2326;3358;4478;10690
72;3076;4676;6240;10690
73;2604;4188;5720;10690
74;2120;3468;4158;10690
75;1344;3383;4788;10690
76;1266;3212;4212;10690
77;2418;3888;5334;10690
78;2310;2976;4802;10690
79;1702;3611;5004;10690
80;3246;4382;4860;10690
81;3104;3836;4512;10690
82;2926;4752;6706;10690
83;2328;3515;5932;10690
84;3490;4542;5644;10690
85;2600;4010;5662;10690
86;1506;4600;6894;10690
87;2260;4458;6738;10690
88;1878;3444;5364;10690
89;1382;3490;6454;10690
90;2648;3578;5050;10690
91;2180;3509;4686;10690
92;2256;3454;5006;10690
93;3906;5047;6584;10690
94;2942;4382;5478;10690
95;1506;3613;6250;10690
96;1082;3719;6078;10690
97;1420;3085;4304;10690
98;2042;3530;4746;10690
99;3442;3932;4686;10690
