epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;752;1572;2826;10151
1;1464;1956;2408;10151
2;1562;1983;3280;10151
3;1558;1892;2364;10151
4;1562;1796;2520;10151
5;1106;1823;2824;10151
6;1560;1940;2348;10151
7;1402;1986;2578;10151
8;1328;1735;2032;10151
9;908;1694;2244;10151
10;1148;1970;2934;10151
11;1308;2027;3192;10151
12;918;1889;2636;10151
13;1708;2068;2364;10151
14;1398;1864;2334;10151
15;1484;1879;2124;10151
16;1062;1860;2800;10151
17;1170;1545;1902;10151
18;1018;1792;2822;10151
19;1794;1939;2104;10151
20;898;1616;1962;10151
21;1754;2158;2690;10151
22;1758;2256;3040;10151
23;1220;1858;2742;10151
24;1480;1995;2544;10151
25;1584;1993;3192;10151
26;1666;2678;3192;10151
27;1670;2305;2816;10151
28;2054;2418;2924;10151
29;1836;2299;2640;10151
30;1566;2182;3152;10151
31;1674;2530;3258;10151
32;982;2484;3494;10151
33;1024;2120;3108;10151
34;1070;2162;3080;10151
35;2408;2677;3004;10151
36;2324;2617;3054;10151
37;1590;2224;2646;10151
38;1902;2486;3108;10151
39;1450;2115;2990;10151
40;1516;2129;3098;10151
41;2142;2742;3306;10151
42;1160;2226;3640;10151
43;1640;2534;3888;10151
44;1450;1856;2488;10151
45;1268;2325;3534;10151
46;1598;2422;3674;10151
47;1692;2247;2686;10151
48;1316;2304;3356;10151
49;1326;2112;3000;10151
50;1458;1863;2910;10151
51;1248;2466;3694;10151
52;1778;2266;2804;10151
53;1424;1981;2910;10151
54;2210;2687;3434;10151
55;1516;2459;3968;10151
56;1256;2258;3164;10151
57;1544;2125;3230;10151
58;1730;2573;3372;10151
59;1436;2644;4054;10151
60;1292;2132;3174;10151
61;1230;2668;4824;10151
62;1240;2278;3282;10151
63;1282;2643;4014;10151
64;1464;2716;4948;10151
65;2058;3382;5956;10151
66;1796;2340;2736;10151
67;2468;2692;3470;10151
68;1852;2418;3398;10151
69;1100;2303;3518;10151
70;2030;2541;3364;10151
71;2954;3343;4058;10151
72;2556;3125;3606;10151
73;1030;2898;5216;10151
74;1370;2705;3330;10151
75;2340;3340;4104;10151
76;2612;3486;5586;10151
77;2436;2760;3432;10151
78;1514;2204;2640;10151
79;1470;2741;3696;10151
80;1100;2289;3844;10151
81;2342;2866;3376;10151
82;1628;2274;2830;10151
83;1426;2465;3642;10151
84;1324;2488;3496;10151
85;1624;2691;4128;10151
86;1718;3040;4218;10151
87;1438;3127;4172;10151
88;1350;2024;3120;10151
89;2106;2919;3494;10151
90;2712;3304;3918;10151
91;2072;2455;2776;10151
92;1364;2678;3928;10151
93;1594;2571;3464;10151
94;1786;2796;3516;10151
95;2598;3110;3784;10151
96;1572;2761;3932;10151
97;1490;3036;3946;10151
98;1898;2912;3836;10151
99;1278;2980;4796;10151
